timestamp,zone_id,metric,value,threshold,alert_status
2025-08-31 16:07:32,Z1-Freezer,temperature,-18.57,-22 to -18 °C,normal
2025-08-31 16:07:32,Z1-Freezer,humidity,53.02,50 to 70%,normal
2025-08-31 16:07:32,Z2-Chiller,temperature,3.43,2 to 4 °C,alert
2025-08-31 16:07:32,Z2-Chiller,humidity,69.6,70 to 80%,alert
2025-08-31 16:07:32,Z3-Produce,temperature,11.21,8 to 12 °C,normal
2025-08-31 16:07:32,Z3-Produce,humidity,91.25,80 to 95%,normal
2025-08-31 16:07:32,Z4-Pharma,temperature,-4.48,-5 to -2 °C,normal
2025-08-31 16:07:32,Z4-Pharma,humidity,53.38,50 to 60%,normal
2025-08-31 16:07:34,Z1-Freezer,temperature,-20.31,-22 to -18 °C,normal
2025-08-31 16:07:34,Z1-Freezer,humidity,58.14,50 to 70%,normal
2025-08-31 16:07:34,Z2-Chiller,temperature,6.34,2 to 4 °C,alert
2025-08-31 16:07:34,Z2-Chiller,humidity,76.76,70 to 80%,alert
2025-08-31 16:07:34,Z3-Produce,temperature,11.22,8 to 12 °C,normal
2025-08-31 16:07:34,Z3-Produce,humidity,93.37,80 to 95%,normal
2025-08-31 16:07:34,Z4-Pharma,temperature,-4.15,-5 to -2 °C,normal
2025-08-31 16:07:34,Z4-Pharma,humidity,53.97,50 to 60%,normal
2025-08-31 16:07:36,Z1-Freezer,temperature,-19.91,-22 to -18 °C,normal
2025-08-31 16:07:36,Z1-Freezer,humidity,54.49,50 to 70%,normal
2025-08-31 16:07:36,Z2-Chiller,temperature,3.92,2 to 4 °C,normal
2025-08-31 16:07:36,Z2-Chiller,humidity,71.14,70 to 80%,normal
2025-08-31 16:07:36,Z3-Produce,temperature,11.44,8 to 12 °C,normal
2025-08-31 16:07:36,Z3-Produce,humidity,84.55,80 to 95%,normal
2025-08-31 16:07:36,Z4-Pharma,temperature,-2.5,-5 to -2 °C,normal
2025-08-31 16:07:36,Z4-Pharma,humidity,59.92,50 to 60%,normal
2025-08-31 16:07:38,Z1-Freezer,temperature,-18.82,-22 to -18 °C,normal
2025-08-31 16:07:38,Z1-Freezer,humidity,67.22,50 to 70%,normal
2025-08-31 16:07:38,Z2-Chiller,temperature,3.79,2 to 4 °C,normal
2025-08-31 16:07:38,Z2-Chiller,humidity,77.8,70 to 80%,normal
2025-08-31 16:07:38,Z3-Produce,temperature,10.48,8 to 12 °C,normal
2025-08-31 16:07:38,Z3-Produce,humidity,92.94,80 to 95%,normal
2025-08-31 16:07:38,Z4-Pharma,temperature,-1.38,-5 to -2 °C,alert
2025-08-31 16:07:38,Z4-Pharma,humidity,50.17,50 to 60%,alert
2025-08-31 16:07:40,Z1-Freezer,temperature,-20.14,-22 to -18 °C,normal
2025-08-31 16:07:40,Z1-Freezer,humidity,64.37,50 to 70%,normal
2025-08-31 16:07:40,Z2-Chiller,temperature,0.5,2 to 4 °C,alert
2025-08-31 16:07:40,Z2-Chiller,humidity,76.09,70 to 80%,alert
2025-08-31 16:07:40,Z3-Produce,temperature,8.15,8 to 12 °C,alert
2025-08-31 16:07:40,Z3-Produce,humidity,78.98,80 to 95%,alert
2025-08-31 16:07:40,Z4-Pharma,temperature,-6.33,-5 to -2 °C,alert
2025-08-31 16:07:40,Z4-Pharma,humidity,53.88,50 to 60%,alert
2025-08-31 16:07:42,Z1-Freezer,temperature,-21.67,-22 to -18 °C,normal
2025-08-31 16:07:42,Z1-Freezer,humidity,63.51,50 to 70%,normal
2025-08-31 16:07:42,Z2-Chiller,temperature,3.58,2 to 4 °C,alert
2025-08-31 16:07:42,Z2-Chiller,humidity,69.09,70 to 80%,alert
2025-08-31 16:07:42,Z3-Produce,temperature,9.31,8 to 12 °C,normal
2025-08-31 16:07:42,Z3-Produce,humidity,89.53,80 to 95%,normal
2025-08-31 16:07:42,Z4-Pharma,temperature,-3.36,-5 to -2 °C,normal
2025-08-31 16:07:42,Z4-Pharma,humidity,51.56,50 to 60%,normal
2025-08-31 16:07:44,Z1-Freezer,temperature,-21.57,-22 to -18 °C,normal
2025-08-31 16:07:44,Z1-Freezer,humidity,58.25,50 to 70%,normal
2025-08-31 16:07:44,Z2-Chiller,temperature,3.69,2 to 4 °C,normal
2025-08-31 16:07:44,Z2-Chiller,humidity,78.74,70 to 80%,normal
2025-08-31 16:07:44,Z3-Produce,temperature,9.19,8 to 12 °C,normal
2025-08-31 16:07:44,Z3-Produce,humidity,93.19,80 to 95%,normal
2025-08-31 16:07:44,Z4-Pharma,temperature,-3.1,-5 to -2 °C,normal
2025-08-31 16:07:44,Z4-Pharma,humidity,54.7,50 to 60%,normal
2025-08-31 16:07:46,Z1-Freezer,temperature,-19.09,-22 to -18 °C,normal
2025-08-31 16:07:46,Z1-Freezer,humidity,69.27,50 to 70%,normal
2025-08-31 16:07:46,Z2-Chiller,temperature,2.13,2 to 4 °C,normal
2025-08-31 16:07:46,Z2-Chiller,humidity,71.9,70 to 80%,normal
2025-08-31 16:07:46,Z3-Produce,temperature,8.35,8 to 12 °C,normal
2025-08-31 16:07:46,Z3-Produce,humidity,90.39,80 to 95%,normal
2025-08-31 16:07:46,Z4-Pharma,temperature,-2.45,-5 to -2 °C,alert
2025-08-31 16:07:46,Z4-Pharma,humidity,47.4,50 to 60%,alert
2025-08-31 16:07:48,Z1-Freezer,temperature,-21.07,-22 to -18 °C,normal
2025-08-31 16:07:48,Z1-Freezer,humidity,68.94,50 to 70%,normal
2025-08-31 16:07:48,Z2-Chiller,temperature,2.21,2 to 4 °C,alert
2025-08-31 16:07:48,Z2-Chiller,humidity,81.51,70 to 80%,alert
2025-08-31 16:07:48,Z3-Produce,temperature,9.56,8 to 12 °C,normal
2025-08-31 16:07:48,Z3-Produce,humidity,89.91,80 to 95%,normal
2025-08-31 16:07:48,Z4-Pharma,temperature,-4.02,-5 to -2 °C,normal
2025-08-31 16:07:48,Z4-Pharma,humidity,58.32,50 to 60%,normal
2025-08-31 16:07:50,Z1-Freezer,temperature,-21.2,-22 to -18 °C,normal
2025-08-31 16:07:50,Z1-Freezer,humidity,63.65,50 to 70%,normal
2025-08-31 16:07:50,Z2-Chiller,temperature,2.81,2 to 4 °C,normal
2025-08-31 16:07:50,Z2-Chiller,humidity,75.81,70 to 80%,normal
2025-08-31 16:07:50,Z3-Produce,temperature,9.71,8 to 12 °C,normal
2025-08-31 16:07:50,Z3-Produce,humidity,88.41,80 to 95%,normal
2025-08-31 16:07:50,Z4-Pharma,temperature,-4.49,-5 to -2 °C,alert
2025-08-31 16:07:50,Z4-Pharma,humidity,61.83,50 to 60%,alert
2025-08-31 16:07:52,Z1-Freezer,temperature,-19.96,-22 to -18 °C,normal
2025-08-31 16:07:52,Z1-Freezer,humidity,68.47,50 to 70%,normal
2025-08-31 16:07:52,Z2-Chiller,temperature,2.35,2 to 4 °C,normal
2025-08-31 16:07:52,Z2-Chiller,humidity,77.83,70 to 80%,normal
2025-08-31 16:07:52,Z3-Produce,temperature,8.71,8 to 12 °C,alert
2025-08-31 16:07:52,Z3-Produce,humidity,77.39,80 to 95%,alert
2025-08-31 16:07:52,Z4-Pharma,temperature,-4.5,-5 to -2 °C,normal
2025-08-31 16:07:52,Z4-Pharma,humidity,59.54,50 to 60%,normal
2025-08-31 16:07:54,Z1-Freezer,temperature,-22.51,-22 to -18 °C,alert
2025-08-31 16:07:54,Z1-Freezer,humidity,65.17,50 to 70%,alert
2025-08-31 16:07:54,Z2-Chiller,temperature,2.32,2 to 4 °C,alert
2025-08-31 16:07:54,Z2-Chiller,humidity,82.02,70 to 80%,alert
2025-08-31 16:07:54,Z3-Produce,temperature,9.94,8 to 12 °C,normal
2025-08-31 16:07:54,Z3-Produce,humidity,94.85,80 to 95%,normal
2025-08-31 16:07:54,Z4-Pharma,temperature,-7.12,-5 to -2 °C,alert
2025-08-31 16:07:54,Z4-Pharma,humidity,54.51,50 to 60%,alert
2025-08-31 16:07:56,Z1-Freezer,temperature,-19.57,-22 to -18 °C,normal
2025-08-31 16:07:56,Z1-Freezer,humidity,56.98,50 to 70%,normal
2025-08-31 16:07:56,Z2-Chiller,temperature,2.63,2 to 4 °C,normal
2025-08-31 16:07:56,Z2-Chiller,humidity,75.95,70 to 80%,normal
2025-08-31 16:07:56,Z3-Produce,temperature,8.28,8 to 12 °C,normal
2025-08-31 16:07:56,Z3-Produce,humidity,86.39,80 to 95%,normal
2025-08-31 16:07:56,Z4-Pharma,temperature,-3.97,-5 to -2 °C,alert
2025-08-31 16:07:56,Z4-Pharma,humidity,61.95,50 to 60%,alert
2025-08-31 16:07:58,Z1-Freezer,temperature,-19.88,-22 to -18 °C,normal
2025-08-31 16:07:58,Z1-Freezer,humidity,56.51,50 to 70%,normal
2025-08-31 16:07:58,Z2-Chiller,temperature,3.64,2 to 4 °C,normal
2025-08-31 16:07:58,Z2-Chiller,humidity,79.65,70 to 80%,normal
2025-08-31 16:07:58,Z3-Produce,temperature,8.03,8 to 12 °C,normal
2025-08-31 16:07:58,Z3-Produce,humidity,84.21,80 to 95%,normal
2025-08-31 16:07:58,Z4-Pharma,temperature,-4.83,-5 to -2 °C,normal
2025-08-31 16:07:58,Z4-Pharma,humidity,54.67,50 to 60%,normal
2025-08-31 16:08:00,Z1-Freezer,temperature,-24.19,-22 to -18 °C,alert
2025-08-31 16:08:00,Z1-Freezer,humidity,55.92,50 to 70%,alert
2025-08-31 16:08:00,Z2-Chiller,temperature,3.91,2 to 4 °C,normal
2025-08-31 16:08:00,Z2-Chiller,humidity,71.46,70 to 80%,normal
2025-08-31 16:08:00,Z3-Produce,temperature,10.81,8 to 12 °C,alert
2025-08-31 16:08:00,Z3-Produce,humidity,77.2,80 to 95%,alert
2025-08-31 16:08:00,Z4-Pharma,temperature,-4.49,-5 to -2 °C,normal
2025-08-31 16:08:00,Z4-Pharma,humidity,51.52,50 to 60%,normal
2025-08-31 16:08:02,Z1-Freezer,temperature,-21.1,-22 to -18 °C,normal
2025-08-31 16:08:02,Z1-Freezer,humidity,59.28,50 to 70%,normal
2025-08-31 16:08:02,Z2-Chiller,temperature,3.53,2 to 4 °C,normal
2025-08-31 16:08:02,Z2-Chiller,humidity,76.41,70 to 80%,normal
2025-08-31 16:08:02,Z3-Produce,temperature,11.45,8 to 12 °C,normal
2025-08-31 16:08:02,Z3-Produce,humidity,81.29,80 to 95%,normal
2025-08-31 16:08:02,Z4-Pharma,temperature,-3.63,-5 to -2 °C,normal
2025-08-31 16:08:02,Z4-Pharma,humidity,52.42,50 to 60%,normal
2025-08-31 16:08:04,Z1-Freezer,temperature,-16.41,-22 to -18 °C,alert
2025-08-31 16:08:04,Z1-Freezer,humidity,52.8,50 to 70%,alert
2025-08-31 16:08:04,Z2-Chiller,temperature,3.58,2 to 4 °C,normal
2025-08-31 16:08:04,Z2-Chiller,humidity,79.41,70 to 80%,normal
2025-08-31 16:08:04,Z3-Produce,temperature,11.66,8 to 12 °C,normal
2025-08-31 16:08:04,Z3-Produce,humidity,89.03,80 to 95%,normal
2025-08-31 16:08:04,Z4-Pharma,temperature,-4.17,-5 to -2 °C,normal
2025-08-31 16:08:04,Z4-Pharma,humidity,50.15,50 to 60%,normal
2025-08-31 16:08:06,Z1-Freezer,temperature,-18.96,-22 to -18 °C,normal
2025-08-31 16:08:06,Z1-Freezer,humidity,60.91,50 to 70%,normal
2025-08-31 16:08:06,Z2-Chiller,temperature,2.23,2 to 4 °C,normal
2025-08-31 16:08:06,Z2-Chiller,humidity,75.95,70 to 80%,normal
2025-08-31 16:08:06,Z3-Produce,temperature,9.61,8 to 12 °C,normal
2025-08-31 16:08:06,Z3-Produce,humidity,85.5,80 to 95%,normal
2025-08-31 16:08:06,Z4-Pharma,temperature,-3.4,-5 to -2 °C,normal
2025-08-31 16:08:06,Z4-Pharma,humidity,55.71,50 to 60%,normal
2025-08-31 16:08:08,Z1-Freezer,temperature,-23.59,-22 to -18 °C,alert
2025-08-31 16:08:08,Z1-Freezer,humidity,56.35,50 to 70%,alert
2025-08-31 16:08:08,Z2-Chiller,temperature,2.04,2 to 4 °C,normal
2025-08-31 16:08:08,Z2-Chiller,humidity,70.68,70 to 80%,normal
2025-08-31 16:08:08,Z3-Produce,temperature,11.47,8 to 12 °C,normal
2025-08-31 16:08:08,Z3-Produce,humidity,85.99,80 to 95%,normal
2025-08-31 16:08:08,Z4-Pharma,temperature,-4.8,-5 to -2 °C,normal
2025-08-31 16:08:08,Z4-Pharma,humidity,52.1,50 to 60%,normal
2025-08-31 16:08:10,Z1-Freezer,temperature,-16.59,-22 to -18 °C,alert
2025-08-31 16:08:10,Z1-Freezer,humidity,72.67,50 to 70%,alert
2025-08-31 16:08:10,Z2-Chiller,temperature,2.03,2 to 4 °C,normal
2025-08-31 16:08:10,Z2-Chiller,humidity,78.71,70 to 80%,normal
2025-08-31 16:08:10,Z3-Produce,temperature,11.82,8 to 12 °C,alert
2025-08-31 16:08:10,Z3-Produce,humidity,77.34,80 to 95%,alert
2025-08-31 16:08:10,Z4-Pharma,temperature,-3.79,-5 to -2 °C,alert
2025-08-31 16:08:10,Z4-Pharma,humidity,48.4,50 to 60%,alert
2025-08-31 16:08:12,Z1-Freezer,temperature,-18.22,-22 to -18 °C,normal
2025-08-31 16:08:12,Z1-Freezer,humidity,66.09,50 to 70%,normal
2025-08-31 16:08:12,Z2-Chiller,temperature,3.15,2 to 4 °C,normal
2025-08-31 16:08:12,Z2-Chiller,humidity,71.05,70 to 80%,normal
2025-08-31 16:08:12,Z3-Produce,temperature,9.93,8 to 12 °C,normal
2025-08-31 16:08:12,Z3-Produce,humidity,94.32,80 to 95%,normal
2025-08-31 16:08:12,Z4-Pharma,temperature,-4.41,-5 to -2 °C,normal
2025-08-31 16:08:12,Z4-Pharma,humidity,58.72,50 to 60%,normal
2025-08-31 16:08:14,Z1-Freezer,temperature,-20.38,-22 to -18 °C,normal
2025-08-31 16:08:14,Z1-Freezer,humidity,52.69,50 to 70%,normal
2025-08-31 16:08:14,Z2-Chiller,temperature,2.65,2 to 4 °C,normal
2025-08-31 16:08:14,Z2-Chiller,humidity,79.74,70 to 80%,normal
2025-08-31 16:08:14,Z3-Produce,temperature,10.16,8 to 12 °C,normal
2025-08-31 16:08:14,Z3-Produce,humidity,83.85,80 to 95%,normal
2025-08-31 16:08:14,Z4-Pharma,temperature,-3.77,-5 to -2 °C,alert
2025-08-31 16:08:14,Z4-Pharma,humidity,61.83,50 to 60%,alert
2025-08-31 16:08:16,Z1-Freezer,temperature,-18.58,-22 to -18 °C,normal
2025-08-31 16:08:16,Z1-Freezer,humidity,60.88,50 to 70%,normal
2025-08-31 16:08:16,Z2-Chiller,temperature,3.52,2 to 4 °C,normal
2025-08-31 16:08:16,Z2-Chiller,humidity,72.72,70 to 80%,normal
2025-08-31 16:08:16,Z3-Produce,temperature,9.19,8 to 12 °C,normal
2025-08-31 16:08:16,Z3-Produce,humidity,82.03,80 to 95%,normal
2025-08-31 16:08:16,Z4-Pharma,temperature,-4.41,-5 to -2 °C,normal
2025-08-31 16:08:16,Z4-Pharma,humidity,58.18,50 to 60%,normal
2025-08-31 16:08:18,Z1-Freezer,temperature,-21.83,-22 to -18 °C,normal
2025-08-31 16:08:18,Z1-Freezer,humidity,53.48,50 to 70%,normal
2025-08-31 16:08:18,Z2-Chiller,temperature,3.23,2 to 4 °C,normal
2025-08-31 16:08:18,Z2-Chiller,humidity,78.06,70 to 80%,normal
2025-08-31 16:08:18,Z3-Produce,temperature,9.04,8 to 12 °C,normal
2025-08-31 16:08:18,Z3-Produce,humidity,82.57,80 to 95%,normal
2025-08-31 16:08:18,Z4-Pharma,temperature,-2.25,-5 to -2 °C,normal
2025-08-31 16:08:18,Z4-Pharma,humidity,55.02,50 to 60%,normal
2025-08-31 16:08:20,Z1-Freezer,temperature,-21.36,-22 to -18 °C,normal
2025-08-31 16:08:20,Z1-Freezer,humidity,65.92,50 to 70%,normal
2025-08-31 16:08:20,Z2-Chiller,temperature,3.6,2 to 4 °C,normal
2025-08-31 16:08:20,Z2-Chiller,humidity,79.87,70 to 80%,normal
2025-08-31 16:08:20,Z3-Produce,temperature,11.08,8 to 12 °C,normal
2025-08-31 16:08:20,Z3-Produce,humidity,82.75,80 to 95%,normal
2025-08-31 16:08:20,Z4-Pharma,temperature,-3.95,-5 to -2 °C,normal
2025-08-31 16:08:20,Z4-Pharma,humidity,50.89,50 to 60%,normal
2025-08-31 16:08:22,Z1-Freezer,temperature,-20.33,-22 to -18 °C,normal
2025-08-31 16:08:22,Z1-Freezer,humidity,64.92,50 to 70%,normal
2025-08-31 16:08:22,Z2-Chiller,temperature,3.98,2 to 4 °C,normal
2025-08-31 16:08:22,Z2-Chiller,humidity,71.51,70 to 80%,normal
2025-08-31 16:08:22,Z3-Produce,temperature,11.73,8 to 12 °C,alert
2025-08-31 16:08:22,Z3-Produce,humidity,78.19,80 to 95%,alert
2025-08-31 16:08:22,Z4-Pharma,temperature,-4.85,-5 to -2 °C,alert
2025-08-31 16:08:22,Z4-Pharma,humidity,48.34,50 to 60%,alert
2025-08-31 16:08:24,Z1-Freezer,temperature,-18.76,-22 to -18 °C,alert
2025-08-31 16:08:24,Z1-Freezer,humidity,49.51,50 to 70%,alert
2025-08-31 16:08:24,Z2-Chiller,temperature,3.59,2 to 4 °C,normal
2025-08-31 16:08:24,Z2-Chiller,humidity,76.91,70 to 80%,normal
2025-08-31 16:08:24,Z3-Produce,temperature,12.59,8 to 12 °C,alert
2025-08-31 16:08:24,Z3-Produce,humidity,88.96,80 to 95%,alert
2025-08-31 16:08:24,Z4-Pharma,temperature,-4.84,-5 to -2 °C,normal
2025-08-31 16:08:24,Z4-Pharma,humidity,54.0,50 to 60%,normal
2025-08-31 16:08:26,Z1-Freezer,temperature,-19.72,-22 to -18 °C,normal
2025-08-31 16:08:26,Z1-Freezer,humidity,68.77,50 to 70%,normal
2025-08-31 16:08:26,Z2-Chiller,temperature,2.74,2 to 4 °C,normal
2025-08-31 16:08:26,Z2-Chiller,humidity,73.12,70 to 80%,normal
2025-08-31 16:08:26,Z3-Produce,temperature,9.9,8 to 12 °C,normal
2025-08-31 16:08:26,Z3-Produce,humidity,86.03,80 to 95%,normal
2025-08-31 16:08:26,Z4-Pharma,temperature,0.41,-5 to -2 °C,alert
2025-08-31 16:08:26,Z4-Pharma,humidity,52.31,50 to 60%,alert
2025-08-31 16:08:28,Z1-Freezer,temperature,-19.69,-22 to -18 °C,normal
2025-08-31 16:08:28,Z1-Freezer,humidity,61.38,50 to 70%,normal
2025-08-31 16:08:28,Z2-Chiller,temperature,2.14,2 to 4 °C,normal
2025-08-31 16:08:28,Z2-Chiller,humidity,77.26,70 to 80%,normal
2025-08-31 16:08:28,Z3-Produce,temperature,10.69,8 to 12 °C,normal
2025-08-31 16:08:28,Z3-Produce,humidity,80.67,80 to 95%,normal
2025-08-31 16:08:28,Z4-Pharma,temperature,-2.89,-5 to -2 °C,normal
2025-08-31 16:08:28,Z4-Pharma,humidity,59.52,50 to 60%,normal
2025-08-31 16:08:30,Z1-Freezer,temperature,-20.31,-22 to -18 °C,normal
2025-08-31 16:08:30,Z1-Freezer,humidity,61.57,50 to 70%,normal
2025-08-31 16:08:30,Z2-Chiller,temperature,3.89,2 to 4 °C,normal
2025-08-31 16:08:30,Z2-Chiller,humidity,73.37,70 to 80%,normal
2025-08-31 16:08:30,Z3-Produce,temperature,9.53,8 to 12 °C,normal
2025-08-31 16:08:30,Z3-Produce,humidity,90.88,80 to 95%,normal
2025-08-31 16:08:30,Z4-Pharma,temperature,-3.13,-5 to -2 °C,normal
2025-08-31 16:08:30,Z4-Pharma,humidity,50.59,50 to 60%,normal
2025-08-31 16:08:32,Z1-Freezer,temperature,-21.29,-22 to -18 °C,normal
